"","city","city_eng","province","year","cityid","abv_prov","resid_price","resid_area","housing_price","CPI","nmzrk","each_salary","houseinvest_re","ind_area"
"42","东莞市","Dongguan","广东省",2012,4419,0,5203.642,56.5273,8099.61395931,315.243011474609,187,59409,2400000,158.6987
"43","东营市","Dongying","山东省",2007,3705,0,490.9059,345.6481,2224,211.793212890625,82.76,30132.6,460762,371.0991
"44","东营市","Dongying","山东省",2008,3705,0,332.8423,370.5771,2396,239.961700439453,83.14,33674.7,525447,697.7559
"45","东营市","Dongying","山东省",2009,3705,0,570.7697,631.85,2905,265.877563476562,83.28,36920.3,632884,990.5246
"46","东营市","Dongying","山东省",2010,3705,0,1036.092,483.8382,3661.88637617,293.52880859375,83.35,41197.8,824225,1595.936
"47","东营市","Dongying","山东省",2011,3705,0,1580.09,727.5062,4086.340551,341.561614990234,83.8,45608.4,985734,2179.64
"48","东营市","Dongying","山东省",2012,3705,0,1041.001,372.5313,4919.26552026,377.083984375,83.6,50194.2,1200000,968.6041
"49","中卫市","Zhongwei","宁夏回族自治区",2007,6405,0,278.3147,18.553,1357,188.343322753906,35.83,21501.7,29309,63.9254
"50","中卫市","Zhongwei","宁夏回族自治区",2008,6405,0,248.354,165.2142,1657,218.854949951172,39.03,25280.2,71742,73.8383
"51","中卫市","Zhongwei","宁夏回族自治区",2009,6405,0,113.1336,113.3947,2113,232.861663818359,39.24,27620,130821,89.9875
"52","中卫市","Zhongwei","宁夏回族自治区",2010,6405,0,304.5768,341.9213,2104.88058152,252.887771606445,39.59,30990.8,125328,57.738
"53","中卫市","Zhongwei","宁夏回族自治区",2011,6405,0,505.8319,223.4924,2451.262996,295.073974609375,39.7,36331.5,147446,173.6851
"54","中卫市","Zhongwei","宁夏回族自治区",2012,6405,0,901.3002,37.32583,2765.28735727,322.220794677734,40.3,33682.824137931,346601,730.8678
"55","中山市","Zhongshan","广东省",2007,4420,0,1030.677,623.9607,3940,195.651931762695,145.15,27502.5,1300000,685.714
"56","中山市","Zhongshan","广东省",2008,4420,0,175.9902,401.1684,4273,211.304061889648,146.43,31700,1500000,301.3517
"57","中山市","Zhongshan","广东省",2009,4420,0,469.1949,1069.451,4546,234.758834838867,147.86,36159.4,1400000,900.0433
"58","中山市","Zhongshan","广东省",2010,4420,0,1349.027,537.1332,5146.71941972,255.887130737305,149.18,40573.5,1900000,623.5571
"59","中山市","Zhongshan","广东省",2011,4420,0,1289.787,416.438,5825.032014,291.083129882812,150.7,48420.3,2300000,524.3344
"60","中山市","Zhongshan","广东省",2012,4420,0,1256.632,109.9808,5300.22585145,315.243011474609,152,55869.5,2600000,154.3701
"61","临汾市","Linfen","山西省",2007,1410,0,361.2484,255.0852,2146,213.477111816406,80.9,18729.8,103631,413.6147
"62","临汾市","Linfen","山西省",2008,1410,0,790.8776,262.4424,2409,223.083587646484,82.23,22310,177811,118.6461
